'1', '소년이 온다 - 2024 노벨문학상 수상작가', '한강 (지은이)', '창비', '2014-05-19', '15000', '13500', '섬세한 감수성과 치밀한 문장으로 인간 존재의 본질을 탐구해온 작가 한강의 여섯번째 장편소설. \'상처의 구조에 대한 투시와 천착의 서사\'를 통해 한강만이 풀어낼 수 있는 방식으로 1980년 5월을 새롭게 조명한다.', '9788936434120', '국내도서>소설/시/희곡>한국소설>2000년대 이후 한국소설', 'https://image.aladin.co.kr/product/4086/97/coversum/8936434128_2.jpg'
'2', '채식주의자 (리마스터판) - 2024 노벨문학상 수상작가', '한강 (지은이)', '창비', '2022-03-28', '15000', '13500', '2016년 인터내셔널 부커상을 수상하며 한국문학의 입지를 한단계 확장시킨 한강의 장편소설. 상처받은 영혼의 고통과 식물적 상상력의 강렬한 결합을 정교한 구성과 흡인력 있는 문체로 보여주며 섬뜩한 아름다움의 미학을 한강만의 방식으로 완성한 역작이다.', '9788936434595', '국내도서>소설/시/희곡>한국소설>2000년대 이후 한국소설', 'https://image.aladin.co.kr/product/29137/2/coversum/8936434594_2.jpg'
'3', '작별하지 않는다 - 2024 노벨문학상 수상작가, 한강 장편소설', '한강 (지은이)', '문학동네', '2021-09-09', '16800', '15120', '2016년 &lt;채식주의자&gt;로 인터내셔널 부커상을 수상하고 2018년 &lt;흰&gt;으로 같은 상 최종 후보에 오른 한강 작가의 5년 만의 장편소설. 2019년 겨울부터 이듬해 봄까지 계간 &lt;문학동네&gt;에 전반부를 연재하며 큰 관심을 모은 작품이다.', '9788954682152', '국내도서>소설/시/희곡>한국소설>2000년대 이후 한국소설', 'https://image.aladin.co.kr/product/27877/5/coversum/8954682154_3.jpg'
'4', '흰 - 2024 노벨문학상 수상작가, 한강 소설', '한강 (지은이), 최진혁 (사진)', '문학동네', '2018-04-25', '14500', '13050', '2018년 봄, 한강 작가의 소설 &lt;흰&gt;을 새롭게 선보인다. 이 년 전 오월에 세상에 나와 빛의 겹겹 오라기로 둘러싸인 적 있던 그 &lt;흰&gt;에 새 옷을 입히게 된 건 소설 발간에 즈음해 행했던 작가의 퍼포먼스가 글과 함께 배었으면 하는 바람에서였다.', '9788954651134', '국내도서>소설/시/희곡>한국소설>2000년대 이후 한국소설', 'https://image.aladin.co.kr/product/14322/3/coversum/8954651135_3.jpg'
'5', '서랍에 저녁을 넣어 두었다 - 2024 노벨문학상 수상작가', '한강 (지은이)', '문학과지성사', '2013-11-15', '12000', '10800', '\'문학과지성 시인선\' 438권. 인간 삶의 고독과 비애, 삶과 죽음의 경계에서 맞닥뜨리는 어떤 진실과 본질적인 정서들을 특유의 단단하고 시정 어린 문체로 새겨온 한강의 첫 시집. 틈틈이 쓰고 발표한 시들 가운데 60편을 추려 이번 시집을 묶었다.', '9788932024639', '국내도서>소설/시/희곡>시>한국시', 'https://image.aladin.co.kr/product/3335/59/coversum/s742934199_1.jpg'
'6', '희랍어 시간 - 2024 노벨문학상 수상작가', '한강 (지은이)', '문학동네', '2011-11-10', '13000', '11700', '&lt;채식주의자&gt;, &lt;내 여자의 열매&gt;, &lt;바람이 분다, 가라&gt;의 작가 한강의 장편소설. 이것은 한 남자와 한 여자의 이야기이다. 다만 한 여자와 한 남자의 기척이 만나는 이야기이다. 말語을 잃어가는 한 여자의 침묵과 눈眼을 잃어가는 한 남자의 빛이 만나는 찰나의 이야기를 그린 소설이다.', '9788954616515', '국내도서>소설/시/희곡>한국소설>2000년대 이후 한국소설', 'https://image.aladin.co.kr/product/1384/91/coversum/8954616518_2.jpg'
'7', '디 에센셜 한강 (무선 보급판) - 2024 노벨문학상 수상작가', '한강 (지은이)', '문학동네', '2023-06-01', '17000', '15300', '작가의 핵심 작품들을 큐레이팅하여 한 권으로 엮은 스페셜 에디션 ‘디 에센셜The essential’. 문학동네에서 출시하는 디 에센셜 한국작가 편은 ‘센세이션’이라는 키워드 아래, 독자들에게 강렬한 독서 경험을 선사하며 한국문학에 센세이션을 일으킨 작가를 선정한다. 첫번째 작가는 한강이다.', '9788954693462', '국내도서>소설/시/희곡>한국소설>2000년대 이후 한국소설', 'https://image.aladin.co.kr/product/31784/0/coversum/8954693466_2.jpg'
'8', '원피스 109 - 네 편', '오다 에이치로 (지은이)', '대원씨아이(만화)', '2024-10-30', '6000', '5400', '눈앞에 나타난, 아버지 쿠마의 기억을 빼앗은 새턴 성(聖)! 전모를 알게 된 보니는 그에게 분노의 날을 세워 들이댄다! 하지만 공격은 통하지 않고, 절체절명의 위기에 빠진 그때, 믿기 어려운 광경이...?!', '9791172884925', '국내도서>만화>본격장르만화>판타지>액션 판타지', 'https://image.aladin.co.kr/product/35005/47/coversum/k712934889_1.jpg'
'9', '여수의 사랑 - 2024 노벨문학상 수상작가, 개정판', '한강 (지은이)', '문학과지성사', '2018-11-09', '16000', '14400', '한강 작가의 첫 책이자 첫번째 소설집. 1995년에 출간된 &lt;여수의 사랑&gt;은 삶의 본질적인 외로움과 고단함을 섬세하게 살피며 존재의 상실과 방황을 그려낸다. 이번 출간을 통해 소설 배치를 바꾸고 몇몇 표현을 다듬었다.', '9788932034812', '국내도서>소설/시/희곡>한국소설>2000년대 이전 한국소설', 'https://image.aladin.co.kr/product/17393/4/coversum/8932034818_2.jpg'
'10', '바람이 분다, 가라 - 2024 노벨문학상 수상작가, 제13회 동리문학상 수상작', '한강 (지은이)', '문학과지성사', '2010-02-26', '14000', '12600', '&lt;채식주의자&gt;의 작가 한강의 네 번째 장편소설. 삶과 죽음의 경계 위에서 간절하게 숨 쉬어야만 했던 이들의 이야기이다. 촉망 받던 한 여자 화가의 의문에 싸인 죽음을 두고, 각자가 믿는 진실을 증명하기 위해 마치 격렬한 투쟁을 치르듯 온몸으로 부딪치고 상처 입는 사람들의 이야기가 400여 페이지에 걸쳐 전개된다.', '9788932020006', '국내도서>소설/시/희곡>한국소설>2000년대 이후 한국소설', 'https://image.aladin.co.kr/product/646/75/coversum/8932020000_2.jpg'
